player_id,player,pos,team,adp_ppr,pts_ppr,games,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,injury_status,years_exp,vorp,vorp_rank,adp_rank,value_gap
12481,Cam Skattebo,RB,NYG,43.4,201.2,18.0,42.0,301.0,1.0,214.0,891.0,6.0,,,,1.0,47.5,42,43,1
6801,Tee Higgins,WR,CIN,34.3,224.4,18.0,75.0,1048.0,7.0,1.0,6.0,,,,,6.0,47.099999999999994,43,34,-9
12514,Emeka Egbuka,WR,TB,39.8,224.0,18.0,77.0,1029.0,7.0,3.0,21.0,,,,Questionable,1.0,46.69999999999999,44,39,-5
12526,Tetairoa McMillan,WR,CAR,37.8,223.0,18.0,77.0,1074.0,6.0,1.0,6.0,,,,,1.0,45.69999999999999,45,37,-8
2216,Mike Evans,WR,SF,61.0,222.2,18.0,70.0,1022.0,8.0,,,,,,Questionable,12.0,44.89999999999998,46,61,15
7526,Jaylen Waddle,WR,DEN,46.5,221.0,18.0,77.0,1002.0,7.0,3.0,18.0,,,,,5.0,43.69999999999999,47,46,-1
11584,Bucky Irving,RB,TB,41.6,197.3,18.0,36.0,271.0,2.0,211.0,902.0,6.0,,,,2.0,43.60000000000002,48,42,-6
12512,Quinshon Judkins,RB,CLE,54.7,196.0,18.0,32.0,228.0,1.0,244.0,1012.0,6.0,,,Questionable,1.0,42.30000000000001,49,54,5
12518,Tyler Warren,TE,IND,47.7,201.1,18.0,83.0,862.0,5.0,5.0,19.0,,,,Questionable,1.0,41.29999999999998,50,47,-3
4881,Lamar Jackson,QB,BAL,32.6,326.0,18.0,,,,119.0,668.0,5.0,3380.0,27.0,,8.0,39.31999999999999,51,32,-19
10859,Sam LaPorta,TE,DET,59.6,196.5,18.0,76.0,842.0,6.0,1.0,3.0,,,,Questionable,3.0,36.69999999999999,52,59,7
5927,Terry McLaurin,WR,WAS,55.1,213.8,18.0,74.0,1031.0,6.0,1.0,7.0,,,,,7.0,36.5,53,56,3
9487,Parker Washington,WR,JAX,76.3,212.4,18.0,72.0,906.0,7.0,10.0,58.0,,,,Questionable,3.0,35.099999999999994,54,76,22
11564,Drake Maye,QB,NE,48.1,320.76,18.0,,,,85.0,416.0,4.0,3854.0,29.0,,2.0,34.079999999999984,55,49,-6
12519,Luther Burden,WR,CHI,52.4,209.0,18.0,72.0,889.0,7.0,10.0,61.0,,,,Questionable,1.0,31.69999999999999,56,52,-4
11620,Rome Odunze,WR,CHI,65.9,207.9,18.0,68.0,973.0,7.0,1.0,6.0,,,,,2.0,30.599999999999994,57,65,8
8167,Christian Watson,WR,GB,69.3,207.6,18.0,63.0,1012.0,7.0,2.0,14.0,,,,,4.0,30.299999999999983,58,69,11
8148,Jameson Williams,WR,DET,58.7,206.2,18.0,60.0,998.0,7.0,8.0,44.0,,,,,4.0,28.899999999999977,59,58,-1
6904,Jalen Hurts,QB,PHI,60.7,310.54,18.0,,,,120.0,515.0,9.0,3326.0,21.0,,6.0,23.860000000000014,60,60,0
11566,Jayden Daniels,QB,WAS,64.0,308.72,18.0,,,,126.0,686.0,6.0,3328.0,21.0,,2.0,22.04000000000002,61,64,3
12490,Bhayshul Tuten,RB,JAX,62.4,174.8,18.0,32.0,234.0,1.0,184.0,794.0,6.0,,,,1.0,21.100000000000023,62,63,1
12506,Harold Fannin,TE,CLE,68.8,180.4,18.0,74.0,739.0,5.0,6.0,25.0,,,,,1.0,20.599999999999994,63,68,5
10222,Jayden Reed,WR,GB,115.6,197.6,18.0,70.0,853.0,6.0,14.0,83.0,,,,,3.0,20.299999999999983,64,111,47
6770,Joe Burrow,QB,CIN,51.4,306.12,18.0,,,,46.0,138.0,2.0,4008.0,33.0,,6.0,19.439999999999998,65,51,-14
11631,Brian Thomas,WR,JAX,72.0,195.4,18.0,62.0,897.0,7.0,3.0,17.0,,,,,2.0,18.099999999999994,66,72,6
12529,TreVeyon Henderson,RB,NE,53.3,171.0,18.0,35.0,260.0,1.0,170.0,760.0,5.0,,,Questionable,1.0,17.30000000000001,67,53,-14
3294,Dak Prescott,QB,DAL,78.1,303.88,18.0,,,,44.0,152.0,1.0,4292.0,31.0,,10.0,17.19999999999999,68,78,10
8228,Jaylen Warren,RB,PIT,73.1,170.6,18.0,36.0,267.0,1.0,172.0,759.0,5.0,,,,4.0,16.900000000000006,69,73,4
7523,Trevor Lawrence,QB,JAX,100.6,303.42,18.0,,,,79.0,339.0,5.0,3788.0,26.0,,5.0,16.74000000000001,70,97,27
8183,Brock Purdy,QB,SF,121.4,303.2,18.0,,,,64.0,242.0,3.0,3900.0,30.0,,4.0,16.519999999999982,71,115,44
13286,Jadarian Price,RB,SEA,67.3,170.0,18.0,19.0,138.0,1.0,212.0,912.0,7.0,,,,0.0,16.30000000000001,72,67,-5
7611,Rhamondre Stevenson,RB,NE,81.3,169.0,18.0,29.0,214.0,1.0,183.0,786.0,6.0,,,,5.0,15.300000000000011,73,81,8
2133,Davante Adams,WR,LAR,50.0,192.5,18.0,63.0,795.0,8.0,,,,,,,12.0,15.199999999999989,74,50,-24
9484,Tucker Kraft,TE,GB,62.2,174.4,18.0,67.0,774.0,5.0,,,,,,Questionable,3.0,14.599999999999994,75,62,-13
11560,Caleb Williams,QB,CHI,71.0,299.34,18.0,,,,75.0,373.0,3.0,3651.0,28.0,,2.0,12.659999999999968,76,71,-5
7553,Kyle Pitts,TE,ATL,69.4,171.6,18.0,66.0,756.0,5.0,,,,,,,5.0,11.799999999999983,77,70,-7
1466,Travis Kelce,TE,KC,92.4,171.4,18.0,70.0,714.0,5.0,,,,,,,13.0,11.599999999999994,78,91,13
12508,Jaxson Dart,QB,NYG,90.7,296.54,18.0,,,,106.0,539.0,6.0,3366.0,22.0,,1.0,9.860000000000014,79,90,11
