player_id,player,pos,team,adp_ppr,pts_ppr,games,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,injury_status,years_exp
5927,Terry McLaurin,WR,WAS,55.4,213.8,18.0,74.0,1031.0,6.0,1.0,7.0,,,,,7.0
6790,D'Andre Swift,RB,CHI,55.7,208.0,18.0,37.0,272.0,1.0,217.0,978.0,7.0,,,,6.0
8148,Jameson Williams,WR,DET,57.5,206.2,18.0,60.0,998.0,7.0,8.0,44.0,,,,Questionable,4.0
4983,DJ Moore,WR,BUF,58.6,179.0,18.0,63.0,851.0,5.0,5.0,29.0,,,,Questionable,8.0
2216,Mike Evans,WR,SF,59.6,222.2,18.0,70.0,1022.0,8.0,,,,,,,12.0
10859,Sam LaPorta,TE,DET,60.4,196.5,18.0,76.0,842.0,6.0,1.0,3.0,,,,,3.0
12490,Bhayshul Tuten,RB,JAX,61.1,174.8,18.0,32.0,234.0,1.0,184.0,794.0,6.0,,,,1.0
11566,Jayden Daniels,QB,WAS,62.1,308.72,18.0,,,,126.0,686.0,6.0,3328.0,21.0,,2.0
13279,Carnell Tate,WR,TEN,63.4,177.3,18.0,65.0,813.0,5.0,2.0,10.0,,,,Questionable,0.0
6904,Jalen Hurts,QB,PHI,63.7,310.54,18.0,,,,120.0,515.0,9.0,3326.0,21.0,,6.0
9484,Tucker Kraft,TE,GB,65.3,174.4,18.0,67.0,774.0,5.0,,,,,,Questionable,3.0
11620,Rome Odunze,WR,CHI,66.0,207.9,18.0,68.0,973.0,7.0,1.0,6.0,,,,,2.0
12506,Harold Fannin,TE,CLE,67.9,180.4,18.0,74.0,739.0,5.0,6.0,25.0,,,,,1.0
7553,Kyle Pitts,TE,ATL,68.1,171.6,18.0,66.0,756.0,5.0,,,,,,,5.0
13286,Jadarian Price,RB,SEA,69.8,170.0,18.0,19.0,138.0,1.0,212.0,912.0,7.0,,,,0.0
8167,Christian Watson,WR,GB,70.3,207.6,18.0,63.0,1012.0,7.0,2.0,14.0,,,,,4.0
11560,Caleb Williams,QB,CHI,71.4,299.34,18.0,,,,75.0,373.0,3.0,3651.0,28.0,,2.0
11631,Brian Thomas,WR,JAX,71.5,195.4,18.0,62.0,897.0,7.0,3.0,17.0,,,,,2.0
8228,Jaylen Warren,RB,PIT,73.8,170.6,18.0,36.0,267.0,1.0,172.0,759.0,5.0,,,,4.0
5846,DK Metcalf,WR,PIT,74.0,183.3,18.0,62.0,843.0,6.0,2.0,10.0,,,,Questionable,7.0
11628,Marvin Harrison,WR,ARI,75.8,186.2,18.0,62.0,882.0,6.0,,,,,,,2.0
7594,Chuba Hubbard,RB,CAR,76.6,147.9,18.0,22.0,153.0,1.0,181.0,766.0,5.0,,,Questionable,5.0
13281,Jordyn Tyson,WR,NO,77.0,111.0,18.0,41.0,514.0,3.0,1.0,6.0,,,,Doubtful,0.0
9487,Parker Washington,WR,JAX,78.3,212.4,18.0,72.0,906.0,7.0,10.0,58.0,,,,,3.0
5045,Courtland Sutton,WR,DEN,79.4,174.3,18.0,59.0,793.0,6.0,,,,,,,8.0
12489,RJ Harvey,RB,DEN,79.8,144.1,18.0,37.0,276.0,2.0,124.0,515.0,3.0,,,,1.0
